"text_code","class_name","teacher_name",category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,text_length,"language","create_time"
"107-2_20449100","環境與工程地質","劉雅瑄",7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,321,"CH","2020-05-12 23:39:13"
"107-2_20449130","專題討論","吳逸民",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1824,"CH","2020-05-12 23:39:13"
"107-2_20449290_01","專題研究二","陳文山",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_02","專題研究二","陳于高",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_03","專題研究二","鄧茂華",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_04","專題研究二","洪淑蕙",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_05","專題研究二","胡植慶",0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,27.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,605,"CH","2020-05-12 23:39:13"
"107-2_20449290_06","專題研究二","沈川洲",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_07","專題研究二","吳逸民",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_08","專題研究二","龔源成",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_09","專題研究二","林立虹",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_10","專題研究二","施路易",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_11","專題研究二","劉雅瑄",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
